"","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","Condition","SUBJECT","EccentricityEff","HemifieldEff","CondEff"
"1","V_LNstair",0.169778937520103,0.0268845842312211,0.088321157719504,"Left","Near","Upright","002",-0.5,-0.5,-0.5
"2","V_LFstair",0.358239622288655,0.0272375221522237,0.0896753436559136,"Left","Far","Upright","002",0,-0.5,-0.5
"3","V_LPstair",0.255932006401776,0.0271513778303428,0.0900624579058031,"Left","Peripheral","Upright","002",0.5,-0.5,-0.5
"4","V_RNstair",0.170738766993375,0.0268426826584018,0.0883038394071237,"Right","Near","Upright","002",-0.5,0.5,-0.5
"5","V_RFstair",0.139889835030667,0.0272124752779445,0.089145481373189,"Right","Far","Upright","002",0,0.5,-0.5
"6","V_RPstair",0.268362833478623,0.0264829332452407,0.087235616644841,"Right","Peripheral","Upright","002",0.5,0.5,-0.5
"7","I_LNstair",0.31593656740258,0.0308085132015803,0.101807777447664,"Left","Near","Inverted","002",-0.5,-0.5,0.5
"8","I_LFstair",0.359154580405786,0.0424198357788093,0.130161156640238,"Left","Far","Inverted","002",0,-0.5,0.5
"9","I_LPstair",0.372725313520987,0.0263424364622645,0.0871380589927818,"Left","Peripheral","Inverted","002",0.5,-0.5,0.5
"10","I_RNstair",0.338735874709902,0.0304171106107308,0.098856906172396,"Right","Near","Inverted","002",-0.5,0.5,0.5
"11","I_RFstair",0.586041057558365,0.0287401405668847,0.094267110514873,"Right","Far","Inverted","002",0,0.5,0.5
"12","I_RPstair",0.399701444123259,0.0294781057746308,0.0970071153375328,"Right","Peripheral","Inverted","002",0.5,0.5,0.5
"13","V_LNstair",0.505670777811277,0.0313534370504071,0.0936955023096448,"Left","Near","Upright","004",-0.5,-0.5,-0.5
"14","V_LFstair",0.615201882218057,0.0266619792979676,0.0883803064904415,"Left","Far","Upright","004",0,-0.5,-0.5
"15","V_LPstair",0.804594223932468,0.02694513991254,0.0894728720699778,"Left","Peripheral","Upright","004",0.5,-0.5,-0.5
"16","V_RNstair",0.51385370473898,0.0261021831766542,0.0865128807915675,"Right","Near","Upright","004",-0.5,0.5,-0.5
"17","V_RFstair",0.520804456643062,0.0261236915447761,0.0861761115500486,"Right","Far","Upright","004",0,0.5,-0.5
"18","V_RPstair",0.594764386351886,0.0257754000054525,0.0852276514044721,"Right","Peripheral","Upright","004",0.5,0.5,-0.5
"19","I_LNstair",0.873291247995766,0.027593389284562,0.0915745862843728,"Left","Near","Inverted","004",-0.5,-0.5,0.5
"20","I_LFstair",0.923693683207399,0.0298217819853892,0.0989418791466647,"Left","Far","Inverted","004",0,-0.5,0.5
"21","I_LPstair",0.699372582628923,0.0262448934855692,0.0866395464480579,"Left","Peripheral","Inverted","004",0.5,-0.5,0.5
