"","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","Condition","SUBJECT","EccentricityEff","HemifieldEff","CondEff"
"1","L_LNstair",0.205610473325323,0.0272232814215288,0.09032267324075,"Left","Near","Upright","013",-0.5,-0.5,-0.5
"2","L_LFstair",0.288215919647488,0.0267208714611444,0.0878617042219061,"Left","Far","Upright","013",0,-0.5,-0.5
"3","L_LPstair",0.289903673360818,0.0268648689468654,0.0882179714008955,"Left","Peripheral","Upright","013",0.5,-0.5,-0.5
"4","L_RNstair",0.31893357664174,0.0275596332943258,0.0903838413404445,"Right","Near","Upright","013",-0.5,0.5,-0.5
"5","L_RFstair",0.363007767852138,0.0264411069261232,0.087662182038308,"Right","Far","Upright","013",0,0.5,-0.5
"6","L_RPstair",0.392125000358196,0.0290371662394482,0.0957895960717055,"Right","Peripheral","Upright","013",0.5,0.5,-0.5
"7","G_LNstair",0.851178837880196,0.0291752021829934,0.0950857422493616,"Left","Near","Gabor","013",-0.5,-0.5,0.5
"8","G_LFstair",0.800676514196171,0.0285122535015324,0.093942155304043,"Left","Far","Gabor","013",0,-0.5,0.5
"9","G_RNstair",0.921163281695682,0.0274505987943701,0.0912925315838091,"Right","Near","Gabor","013",-0.5,0.5,0.5
"10","G_RFstair",0.922589220818356,0.0282780583162138,0.0942845378313815,"Right","Far","Gabor","013",0,0.5,0.5
"11","G_RPstair",0.521807527817792,0.0257529350071307,0.0850433723845296,"Right","Peripheral","Gabor","013",0.5,0.5,0.5
"12","L_LNstair",0.362377986835341,0.0261831680450031,0.0865495240964167,"Left","Near","Upright","014",-0.5,-0.5,-0.5
"13","L_LFstair",0.417568268850661,0.034564177035261,0.109711798821121,"Left","Far","Upright","014",0,-0.5,-0.5
"14","L_LPstair",0.50587756062005,0.0324049225961356,0.0976608900892773,"Left","Peripheral","Upright","014",0.5,-0.5,-0.5
"15","L_RNstair",0.227549923522085,0.0269138794794765,0.0887477615124508,"Right","Near","Upright","014",-0.5,0.5,-0.5
"16","L_RFstair",0.283706153969148,0.0271279780054177,0.0900286183304551,"Right","Far","Upright","014",0,0.5,-0.5
"17","L_RPstair",0.455262859563148,0.0264356287433853,0.0875821763134637,"Right","Peripheral","Upright","014",0.5,0.5,-0.5
"18","G_LNstair",0.50950179117678,0.044867517776835,0.122325181451497,"Left","Near","Gabor","014",-0.5,-0.5,0.5
"19","G_LFstair",0.620520347520739,0.0274037579454458,0.0903512587240475,"Left","Far","Gabor","014",0,-0.5,0.5
"20","G_LPstair",0.624804768197677,0.0263798701704016,0.0874799331887415,"Left","Peripheral","Gabor","014",0.5,-0.5,0.5
"21","G_RNstair",0.392480533092077,0.0264899010488707,0.0875964780586865,"Right","Near","Gabor","014",-0.5,0.5,0.5
"22","G_RFstair",0.454174427736452,0.026343545229014,0.0874157274490756,"Right","Far","Gabor","014",0,0.5,0.5
"23","G_RPstair",0.40012026834949,0.0260390861639573,0.0860669335786152,"Right","Peripheral","Gabor","014",0.5,0.5,0.5
"24","L_LNstair",0.324210716461059,0.0278397823434766,0.09236090772234,"Left","Near","Upright","015",-0.5,-0.5,-0.5
"25","L_LFstair",0.167607226959927,0.0271319275660329,0.0893832795602394,"Left","Far","Upright","015",0,-0.5,-0.5
"26","L_LPstair",0.418962758145918,0.0303272321708566,0.100385210891674,"Left","Peripheral","Upright","015",0.5,-0.5,-0.5
"27","L_RNstair",0.232828707989121,0.0284314494079114,0.0935394050466405,"Right","Near","Upright","015",-0.5,0.5,-0.5
"28","L_RFstair",0.150360013041665,0.027566503290901,0.0903951087445417,"Right","Far","Upright","015",0,0.5,-0.5
