"","SUBJECT","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","ART","Spelling","VisWM","Native_English_reader","Native_Latin_reader"
"1","001","LNstair",0.140538365230997,0.0582434360052102,0.193767409463809,"Left","Near",17,84,56,"Y","Y"
"2","001","LFstair",0.464063051879911,0.0219494732768854,0.0731999947130893,"Left","Far",17,84,56,"Y","Y"
"3","001","LPstair",0.604835914383516,0.0215675572610693,0.0721279907380162,"Left","Peripheral",17,84,56,"Y","Y"
"4","001","RNstair",0.192226923070063,0.0229991825270929,0.0759310050625036,"Right","Near",17,84,56,"Y","Y"
"5","001","RFstair",0.290215801411733,0.0371263889672904,0.121634887780566,"Right","Far",17,84,56,"Y","Y"
"6","001","RPstair",0.559830571651103,0.0222796646832306,0.0735008581438555,"Right","Peripheral",17,84,56,"Y","Y"
"7","002","LNstair",0.508445786066342,0.0214582883832251,0.0707501517915038,"Left","Near",6,71,50,"Y","Y"
"8","002","RPstair",0.550727083958196,0.0214206453934419,0.0706574687745414,"Right","Peripheral",6,71,50,"Y","Y"
"9","002","RNstair",0.428423537504036,0.0248076674178626,0.0808106333518661,"Right","Near",6,71,50,"Y","Y"
"10","002","RFstair",0.439870625739498,0.0231741687993385,0.0768000038443095,"Right","Far",6,71,50,"Y","Y"
"11","002","LFstair",0.800213163976303,0.0233571844064305,0.0777246088642998,"Left","Far",6,71,50,"Y","Y"
"12","002","LPstair",0.722450266032535,0.0226327720027531,0.0749980690932798,"Left","Peripheral",6,71,50,"Y","Y"
"13","003","LPstair",0.496188227364113,0.0212303902597758,0.070869601203212,"Left","Peripheral",10,81,54,"Y","Y"
"14","003","RNstair",0.277266377627524,0.0945520599643428,0.313073380777399,"Right","Near",10,81,54,"Y","Y"
"15","003","LFstair",0.581190926051921,0.0219339229197666,0.0723436636444592,"Left","Far",10,81,54,"Y","Y"
"16","003","LNstair",0.506678879743581,0.0227977991278354,0.0754683452666444,"Left","Near",10,81,54,"Y","Y"
"17","003","RFstair",0.402603185526524,0.0312794571153463,0.0914869222490038,"Right","Far",10,81,54,"Y","Y"
